"BGC","AHM_mean","AHM_sd","AHM_min","AHM_max","bFFP_mean","bFFP_sd","bFFP_min","bFFP_max","CMD_mean","CMD_sd","CMD_min","CMD_max","CMI_mean","CMI_sd","CMI_min","CMI_max","DD18_mean","DD18_sd","DD18_min","DD18_max","DD5_mean","DD5_sd","DD5_min","DD5_max","DDsub0_mean","DDsub0_sd","DDsub0_min","DDsub0_max","DDsub18_mean","DDsub18_sd","DDsub18_min","DDsub18_max","eFFP_mean","eFFP_sd","eFFP_min","eFFP_max","EMT_mean","EMT_sd","EMT_min","EMT_max","Eref_mean","Eref_sd","Eref_min","Eref_max","EXT_mean","EXT_sd","EXT_min","EXT_max","FFP_mean","FFP_sd","FFP_min","FFP_max","MAP_mean","MAP_sd","MAP_min","MAP_max","MAT_mean","MAT_sd","MAT_min","MAT_max","MCMT_mean","MCMT_sd","MCMT_min","MCMT_max","MSP_mean","MSP_sd","MSP_min","MSP_max","MWMT_mean","MWMT_sd","MWMT_min","MWMT_max","NFFD_mean","NFFD_sd","NFFD_min","NFFD_max","PAS_mean","PAS_sd","PAS_min","PAS_max","PPT_mean","PPT_sd","PPT_min","PPT_max","RH_mean","RH_sd","RH_min","RH_max","SHM_mean","SHM_sd","SHM_min","SHM_max","Tave_mean","Tave_sd","Tave_min","Tave_max","TD_mean","TD_sd","TD_min","TD_max","Tmax_mean","Tmax_sd","Tmax_min","Tmax_max","Tmin_mean","Tmin_sd","Tmin_min","Tmin_max"
"CDFmm",18.3910912805951,2.88562727024882,13.1285581969747,27.4429832784385,105.638449276917,5.34813736365073,93.7702872312602,118.183603858432,293.673524132434,47.2505603264746,168.213104586108,367.309451119506,56.2870397218969,15.6291408762584,19.9702457544472,93.5479696518255,89.5398974254895,12.311399213377,44.989306659684,117.530123425913,1964.07100469138,90.7077869691995,1572.53005197339,2152.79062651634,115.164265999584,18.4500485402209,80.9510757109608,177.668245506463,3169.85242951477,135.186353865374,2958.55787860317,3702.60492274784,296.339380467818,3.4572241703813,287.147675585756,302.357322550571,-20.6988575605766,0.802590240488429,-22.8472175889821,-18.9007401266244,663.050783328639,16.5869728976602,622.772541744396,698.361855022302,30.4030204728731,0.528864978255718,28.7248767204316,31.5444044914807,190.700931190902,8.69797614842174,168.964071727324,207.497707920606,1084.77591260546,157.054058835943,729.112029893441,1463.70814960356,9.51113141993757,0.39217884498569,7.90927259577266,10.1660309372038,2.81391889998597,0.619335527218557,1.31049431445298,4.23950665585621,191.045747259094,40.1244065970132,128.601819291833,326.257271166934,17.0077000564651,0.374362991265432,15.5034098426059,17.7021077392921,295.421190852336,10.1996311888033,266.363176049859,314.708297311826,51.2706710454557,17.4377273910847,20.3279515222161,101.034993963142,1084.77591260546,157.054058835943,729.112029893441,1463.70814960356,73.3881156974803,1.03302227437948,70.9855351931933,75.581548430847,92.3956233552907,16.5895295156157,51.2988379436671,127.659858728188,9.51113141993757,0.39217884498569,7.90927259577266,10.1660309372038,14.1937811564791,0.77448622453417,11.9545011824574,15.3796419927225,13.562851588817,0.38805162742902,11.8545232476272,14.2899448869281,5.45941125105811,0.457518734694936,3.96402194391814,6.42970054959687
"CMAun",3.24046760625571,1.33998616900558,0.687108103205999,8.77165705609968,186.734957842139,23.3147474028954,143.364571211111,262.633175822567,11.6077274807965,25.2133517360528,0,142.779444949884,293.722590187968,111.425426060246,88.7367925661153,704.235463634706,2.33709258419059,2.24321429187162,0.123686771464564,12.6800679931483,369.22044867977,190.7857025961,60.5518686002941,964.159933643137,1423.70541926701,444.365793710234,541.741799968755,2700.1695721039,6909.32824796914,798.620463562817,5015.04166315753,9075.2988850594,243.841417072845,9.43473140497097,219.705596167492,267.318991756891,-37.2506054017158,3.22122091836256,-43.8765144067843,-29.3301613045582,307.199119374633,68.1547081312133,95.0113023303498,473.220245891243,23.8285468402661,1.67644148628726,19.5888006312059,28.0222597296517,57.6802773789201,30.7305073739028,0,123.95442054578,3120.15431463208,1127.16003682727,1115.13978633422,7125.66855121953,-0.970472218568151,2.19299167340075,-6.9139708587224,4.23015175737951,-9.18324266830346,2.73226201881696,-15.5632189081636,-3.409705533824,711.20048224273,357.435570075492,237.227615202415,3307.05926716503,8.27179212023352,2.03323548632713,2.44389800811113,12.9333519198736,101.509241005738,34.0593282708937,20.5699290840426,189.78735809966,2156.75311027436,703.12754558005,799.56319909208,5442.42315554126,3120.15431463208,1127.16003682727,1115.13978633422,7125.66855121953,68.4806925500047,3.49763618912121,59.9020155411407,77.5689713176415,13.9260134311506,6.61266156266865,1.26505036641133,37.2925975566273,-0.970472218568151,2.19299167340075,-6.9139708587224,4.23015175737951,17.455034788537,1.94327481925935,14.4941202515957,25.1027826508083,3.12612878931536,2.17965470595019,-3.01633246869574,7.94125498965249,-5.06707322645167,2.28487745964553,-10.8116092487491,0.519048525106527
"CWHdm1",13.0078055082734,1.959037332328,6.89961373820209,18.8661056837811,112.547937480286,6.34191957956173,93.5954535233678,126.693978860526,215.862590465379,49.6526112105538,110.821479645105,317.439226680749,97.4948392647362,21.2433819443515,53.0577712370096,218.35966528393,84.2340199304755,19.946571907566,38.6772815235121,134.068152577116,1876.7815894115,161.390800332992,1428.84709589826,2188.11826906464,145.546068371376,30.8577653653891,83.5235140887553,257.967520357561,3341.05283928384,227.881176381695,2939.35086903805,4049.37457769882,292.305127643659,4.87092684566403,281.637657188095,303.164002750915,-21.8645962639975,0.835888283438237,-24.0278201198411,-19.2272206202786,661.798647860884,26.4845650059495,586.916696486361,734.837568933577,30.7731796197415,0.646995355515403,28.1547220412057,32.8662289682272,179.757190163374,11.1324565781817,154.943678327569,206.462142072143,1492.8339190635,216.985660296926,1039.25083864775,2729.48745980532,9.02200810110453,0.681319448677441,6.94708452045498,10.2277214183335,1.86076760047804,0.721131100711926,-0.191019108011794,4.17278741703021,276.398595220768,59.5429521943858,155.680451473867,386.751924619853,16.9034436021323,0.521533152247896,15.4063109551101,17.9612691268788,282.090057062205,13.3223074013274,247.19773839562,311.045655672563,98.2283983199845,42.9671175800192,36.4494617656741,280.177553758827,1492.8339190635,216.985660296926,1039.25083864775,2729.48745980532,72.7416067932061,1.52037435433169,69.0083750701686,76.7799806433688,64.0412115682194,13.7805094957039,42.4632969929497,104.073119493727,9.02200810110453,0.681319448677441,6.94708452045498,10.2277214183335,15.0426760016542,0.591502372743468,11.4983904076509,16.2373708256609,13.1616223295747,0.756355760913089,10.6778566189976,14.5288085736807,4.88239387263436,0.690224811859435,3.2163124219124,6.50745543755386
"CWHdm2",9.33996926908088,2.28774439581379,3.64522780955829,16.7250135922021,119.670939987156,6.57311152003258,97.3336814864187,130.911096929542,143.781421561839,60.1556271525899,23.1301245168818,278.180150104162,156.740447574721,50.2407713288709,63.8265946152865,448.950805924895,63.7786582981082,19.1483083168357,31.0832301263573,112.785931817452,1684.22486746589,159.355150822512,1340.4037321888,2003.16950803685,190.859332592998,42.0856698994129,95.4116835316145,300.523365102573,3636.35547393805,243.928848223175,3137.92644206619,4185.46457518294,287.324927145046,4.75205835448307,277.981721529928,300.743315310442,-22.9277071427932,1.17433265278991,-26.2501438158816,-19.8647877404621,635.446170387182,30.8072204804659,561.334442074183,725.362650182143,30.4101664129182,0.892189139662323,27.1775629100351,32.7790614868429,167.65398715789,11.2496021258679,147.668140498555,199.933181235996,2054.54465857618,500.400241658243,1153.37345413564,4996.93735673033,8.14725197560978,0.723139596358444,6.55645727086973,9.61412193325387,0.933804794870296,0.922517138199226,-0.908807767482644,3.71746588783322,379.155230855403,94.2514836313699,186.264066929135,695.161185756631,16.3091318757467,0.692017351489944,14.8019161010741,17.819154327456,266.012080162581,15.5674155316213,231.271689825481,302.965106536143,200.000001491977,90.3142749879903,55.5338861496809,559.747300380577,2054.54465857618,500.400241658243,1153.37345413564,4996.93735673033,73.0271021081994,1.5077747134083,69.2298918480506,76.4838947462727,45.7533308656655,11.5460429989945,23.7888334587092,85.6497080925331,8.14725197560978,0.723139596358444,6.55645727086973,9.61412193325387,15.3753270808764,0.830211823983623,11.1030010072705,16.8309364207074,12.2122535021617,0.794423213253097,10.2224074066646,14.0110821690831,4.08225044905782,0.728978330302916,2.52061266989393,6.04166729765128
"CWHdm3",9.94315628697464,2.295262759821,4.37515604445528,14.7517515967968,114.27273779985,8.49307911628527,98.3010624708002,136.942857869899,115.897921150926,48.3271428105498,0,190.981805396533,148.663970422041,47.3197781769475,85.1372528216769,347.274924631788,91.5401282170023,33.4259851188153,24.4213948138946,150.893775890422,1895.60484954048,258.909013241126,1223.15588953167,2215.55985858947,167.01251932159,61.0700146737749,98.211284165779,399.125706385681,3375.8034288624,377.051264901368,2921.86305544033,4501.95201999906,292.59488720673,6.77364327230435,272.745799869866,303.599942629001,-22.806256766702,1.64769905689964,-27.8023701018978,-20.0467370808649,654.07449721072,41.5362205102087,544.580384865163,710.505184581803,30.9805128614507,0.921573946688047,28.7477710140909,32.7647250324307,178.32214940688,15.2369009129286,135.802941999967,205.2988801582,2001.45266896302,441.092453888957,1372.64338266001,3919.75245587411,8.9456245877378,1.12739614950307,5.65040626025214,10.2849899752678,1.20899316342919,1.22811022718011,-2.57364278481397,3.15292517874811,424.292796434823,86.252644269094,285.090863894963,843.957931899377,17.0026577743992,0.920773757274661,14.3611826659243,18.3843439631005,277.719233068517,21.4775845563333,212.556045332054,309.555715971673,165.009369853428,127.172763229743,46.0293097534353,938.83773602811,2001.45266896302,441.092453888957,1372.64338266001,3919.75245587411,72.9758446053615,1.36116546702154,70.2110942239652,76.6462795032,41.6910817442763,8.52080492990495,18.1921354554558,62.238829528125,8.9456245877378,1.12739614950307,5.65040626025214,10.2849899752678,15.79366461097,0.672290157273699,14.6482261747285,17.6113577116916,13.0455196019399,1.23350399335924,9.55891128994513,14.5096835249482,4.84572957353575,1.06062522716652,1.68499110009814,6.53525375704802
"CWHds1",13.275774587762,4.34572142438431,6.52073315853648,28.4760639794322,131.347002645935,10.0019554590936,108.776923430421,155.739997417525,238.642345949057,104.070569132643,21.7712028082907,506.46262867877,90.8293927025606,46.8098452057398,-1.06159623986154,216.170075652446,79.6490988460358,38.4858571392597,17.1702091238481,244.190542374432,1678.07774292628,263.814939488424,1063.28266108987,2247.02692301583,360.853094304908,149.472227988684,126.711758414742,813.292468458651,3967.45401465985,470.138007920895,3019.81411178173,5079.65736814075,278.00650149429,10.0315236719351,251.986504053312,297.709064333361,-27.4131901511428,3.0758986647263,-38.3909663921883,-21.8230030750082,657.578178361522,44.5157244658369,522.365708232569,779.042426948982,32.5755758938099,1.53486327407249,28.6751172864714,37.2736559360198,146.659498848354,19.9817467479463,96.246506635787,188.787742524757,1435.37977419122,442.254735146508,608.833438515586,2647.17723268296,7.28283612797679,1.38385206261921,4.05015819578639,10.0542845251709,-2.19115786244774,2.17527437086635,-7.86186107682554,1.82809715384226,297.913481371724,89.9746403760955,117.62267314835,570.394927826965,16.7991958222418,1.24264816683063,13.6647608331709,20.2737093920125,231.151522413091,31.3657791751612,154.774553799981,293.374458686299,275.868501120242,113.13165496149,76.2642467799552,630.957965648073,1435.37977419122,442.254735146508,608.833438515586,2647.17723268296,68.7636933322324,3.032544571205,53.3617795293697,73.4974296256362,62.4946401879436,22.2038030471384,25.6441321313914,157.286488321947,7.28283612797679,1.38385206261921,4.05015819578639,10.0542845251709,18.9903536846895,2.04423177308482,15.6922952485343,23.2990045826725,11.9963198097454,1.18062522474468,8.87742189701179,14.4156199689031,2.56935244620814,1.6875682484487,-2.68923574288592,5.74181468482513
"CWHds2",14.4845396616616,3.5366758009685,6.59571378628287,22.6612324172281,142.4546284996,9.65010359763991,123.490404914351,162.797004992755,295.593394559092,87.6857069807915,42.6391559854694,421.216398544534,63.8968921963877,30.2662797631654,19.3564372714055,198.413320503536,49.3074655531537,21.9748063951851,16.1835916358653,114.215953374587,1472.46302781996,197.987203139875,1047.45219599468,1901.11286724835,538.658797880609,185.840274220568,236.320417376074,922.294452305942,4422.87880889895,431.92513298144,3693.14565227984,5383.83315426174,267.492523697186,11.1004227707101,245.855968727086,287.533222399082,-31.6803935350307,4.02076628452049,-38.598398462406,-25.1904001188538,634.173674786143,48.7195713512721,525.705588873156,706.800665963675,32.1872413621371,1.62490800369462,28.6553589223796,34.9563366785812,125.037895197586,20.7234952732149,83.0589637343306,164.04281748473,1159.69916689676,276.133957412964,716.288783178904,2384.59879144879,5.93838852232464,1.24683853595612,3.20550073434456,8.04741527213106,-4.68674439481857,2.22063946575034,-8.78337480050887,-0.580844509417973,254.308872902093,67.5933824071029,159.597703909598,493.268243296494,15.7695264326712,1.02600442916207,13.3521883888214,18.0812478866648,197.781394305159,31.7225433132706,136.554262147943,257.972988288178,353.283595002104,145.641814182046,145.202937926613,815.546881500314,1159.69916689676,276.133957412964,716.288783178904,2384.59879144879,63.5150821193037,6.68394521836374,53.3271234849682,73.8269411561664,66.2819984931148,17.7116491815959,28.8063952940863,111.54653690538,5.93838852232464,1.24683853595612,3.20550073434456,8.04741527213106,20.4562708274898,1.83121741220207,17.0706571872729,23.5331090136337,11.4287841278458,0.947913581786273,8.81009055249631,13.2060178136359,0.447992916803426,2.07316672510134,-3.5504962029718,3.94336463449943
"CWHmm1",6.81263805856183,1.68627287678478,2.59133995961311,11.4285075720211,128.351102146604,4.5546359997591,110.191387337922,136.815065255245,123.54503103388,50.8220494122056,0,252.762326024922,222.505480951345,78.5770735138245,104.932815034958,585.960346739071,39.2902182122934,12.8119945722393,18.8194324506092,97.4119405034918,1426.20589870432,143.488992153994,1144.13023509944,1901.73349893661,258.318373973232,46.5800234743065,126.234775557747,347.888748034109,4042.82463665553,236.646325117963,3262.38981411746,4483.57691310981,280.710218987628,4.0338214090076,272.391034102978,293.645299158368,-24.4042144189229,1.16712799253013,-26.595243350246,-21.0069736567577,601.984341687475,34.3648705195642,517.391601104198,696.189107549248,29.6670842166851,0.790677730537862,27.4631799661056,32.1009717244672,152.359116841025,8.50391191953991,135.616202631553,182.306483253859,2670.54739113903,788.358346084977,1503.17166283547,6270.24248073719,6.9603967608866,0.68165546541803,5.68695970930271,9.22866127685875,-0.186768290621023,0.783681544204686,-1.62465420016605,2.51732486737226,407.540714666891,120.102231565405,203.943714579669,1053.98863527857,15.2912897906209,0.664541236707657,13.5811246370958,17.515897456238,242.502394878508,14.9581290190046,212.534393518936,286.345118214686,410.780252288655,149.782325310756,154.2394582752,1235.47391812432,2670.54739113903,788.358346084976,1503.17166283547,6270.24248073719,73.1345456948024,1.42180579815319,70.1698313755997,77.195440761963,40.1743334034179,10.0045043381383,14.080929751226,75.7196425368343,6.9603967608866,0.68165546541803,5.68695970930271,9.22866127685875,15.4780580812419,0.659547589734292,13.1545965981018,16.8018506313927,10.969534830889,0.802174593083789,9.30775362690485,13.6452432810294,2.95125869088421,0.626144015131573,1.6490358889445,4.81207927268809
"CWHmm2",5.93782575156352,1.12902254491217,2.57552647133497,9.34412200021749,135.309566017531,4.1602888091693,125.667659296528,145.443034127855,100.922605633705,41.9532052804582,0,210.05568527609,236.486579167539,60.8981059313,130.770907154668,553.204095637985,22.0862241545601,4.80471245809018,11.3333873309106,40.2623229426166,1169.66430332181,92.2269081894886,928.360040581054,1452.91436020519,345.122452745105,51.9684325085304,219.423242781689,478.944055918332,4483.94031084249,190.369820969615,3935.36265983704,4942.08606514193,274.805173112708,3.68359330968006,265.712125633119,284.489675738978,-26.1147092878033,1.19169266752742,-28.7470287218654,-23.4127405019668,540.525356226474,32.147711128632,454.393697459511,612.481930182416,28.3940938448598,0.556863121941745,26.7644384704886,29.6742952262104,139.495607095177,7.79437091334396,120.915455794942,158.822016442449,2751.21369511085,610.176118819198,1707.30314527687,5913.04275944444,5.69600389621957,0.536726771669219,4.4351023560029,7.26961370569978,-1.20826329685844,0.691330299099034,-2.52938723921622,0.596328682876321,399.417140721394,94.282098090328,248.27211571988,933.834848523185,14.1139708805063,0.50123557988449,12.5355590211551,15.5551963192493,217.759261571695,14.8316591850834,184.661656019217,254.172658675779,656.16220760311,158.955923924567,362.343698122893,1610.4350303282,2751.21369511085,610.176118819198,1707.30314527687,5913.04275944444,73.9786530059188,1.98035139182039,70.4083330949919,78.3034901613316,37.0519644260811,7.95016766533995,14.8621080632872,59.6055478304119,5.69600389621957,0.536726771669219,4.4351023560029,7.26961370569978,15.3222341773647,0.500346700898071,13.6221475526561,16.427629919593,9.5333131221157,0.596897078689897,7.96551816645624,11.1251228049223,1.85869467032344,0.635685550073709,0.341777936307697,3.41410460647722
"CWHms1",9.67837437966244,2.84552449294438,4.67806215788711,19.369465708711,141.346954745461,7.65031937581293,123.559486140521,167.805731792289,152.063280936158,89.1277658937105,0,378.200410501318,128.144573787199,49.2031410443141,20.7443911203551,273.638806951043,33.1158743520599,14.0162721821202,6.71859985542751,96.1894277136384,1286.92928007056,170.17411209593,734.160479564885,1739.09802791898,484.222452669889,157.867685673968,212.601808534219,1026.33356572652,4561.24234560846,364.704726512043,3651.12836291098,5897.7771017101,267.989019728569,7.48645429237034,246.816741387738,284.579516355983,-29.7288992873203,3.08682901687991,-38.8728808273177,-24.1108889452816,591.882614779855,34.5583597275636,498.472119430507,676.493316415993,30.7916938434233,1.22497140933833,28.1717105918759,33.7187354470869,126.642064983109,15.0632124768863,79.0110095954491,159.07605019637,1734.39248750069,473.777392710349,723.407370725611,3119.73736456685,5.51654929513897,1.03202687905659,1.80279910564198,8.14626043728166,-3.52394621186113,1.79978682071515,-9.0188111558863,0.254293277159178,370.480047976673,111.262602897808,170.438403435823,709.972522351783,14.8937042223612,1.00247436513025,11.3882558849297,17.6877527828739,199.191401358971,23.9966113895421,125.876256678836,261.368767118799,501.652571690762,140.220117733607,186.123102124125,1092.84169043028,1734.39248750069,473.777392710349,723.407370725611,3119.73736456685,68.1968028440189,4.47796314162031,53.6947609595205,74.7137653452079,44.1831775287379,14.105572079041,18.6588970370553,85.9071098029606,5.51654929513897,1.03202687905659,1.80279910564198,8.14626043728166,18.4176504342224,1.56704622341554,15.4875908798714,23.2808011140874,10.2367443962072,0.756940545287227,7.52742831827129,12.5090197077499,0.796354194070693,1.545792784444,-3.92183010698732,3.78350116681345
